Projected L,Projected W,elo,fran_id
16.0,66.0,1759.06814195,Warriors
19.0,63.0,1714.50219821,Spurs
28.0,54.0,1618.62894594,Cavaliers
31.0,51.0,1609.37774315,Wizards
29.0,53.0,1601.77690372,Celtics
27.0,55.0,1600.22203728,Rockets
32.0,50.0,1579.7409871,Jazz
33.0,49.0,1571.25581003,Clippers
36.0,46.0,1565.89862845,Thunder
34.0,48.0,1549.77123037,Raptors
42.0,40.0,1542.97026978,Heat
37.0,45.0,1523.93880712,Hawks
39.0,43.0,1519.99646683,Pacers
41.0,41.0,1511.87910238,Pistons
38.0,44.0,1508.31554469,Grizzlies
45.0,37.0,1504.82013959,Mavericks
44.0,38.0,1499.78595559,Trailblazers
42.0,40.0,1485.16162037,Bulls
48.0,34.0,1471.03862534,Timberwolves
44.0,38.0,1466.43630041,Bucks
45.0,37.0,1462.71934783,Nuggets
47.0,35.0,1438.74020296,Hornets
50.0,32.0,1424.04393352,Pelicans
50.0,32.0,1412.93254518,Kings
52.0,30.0,1393.75415025,Magic
50.0,32.0,1388.38899666,Knicks
56.0,26.0,1365.63070525,Suns
53.0,29.0,1354.69140371,Sixers
58.0,24.0,1312.53462071,Lakers
67.0,15.0,1241.97863564,Nets
