,fran_id,pts,opp_fran,opp_pts,game_location,date,A Win,Fran_5_PTS,Opp_5_PTS,fran_elo,opp_elo
0,Rockets,120,Hawks,104,A,1976-10-21,1,0.0,0.0,1500.0,1500.0
1,Celtics,129,Pacers,122,A,1976-10-21,1,0.0,0.0,1500.0,1500.0
2,Clippers,133,Bucks,112,A,1976-10-21,1,0.0,0.0,1500.0,1500.0
3,Lakers,97,Knicks,102,A,1976-10-21,0,0.0,0.0,1500.0,1500.0
4,Bulls,95,Cavaliers,106,A,1976-10-22,0,0.0,0.0,1500.0,1500.0
5,Nets,104,Warriors,103,A,1976-10-22,1,0.0,0.0,1500.0,1500.0
6,Nuggets,123,Pacers,110,A,1976-10-22,1,0.0,0.0,1500.0,1490.0
7,Pistons,99,Kings,96,A,1976-10-22,1,0.0,0.0,1500.0,1500.0
8,Suns,98,Jazz,111,A,1976-10-22,0,0.0,0.0,1500.0,1500.0
9,Spurs,121,Sixers,118,A,1976-10-22,1,0.0,0.0,1500.0,1500.0
10,Lakers,103,Wizards,84,A,1976-10-22,1,0.0,0.0,1490.0,1500.0
11,Sixers,105,Clippers,108,A,1976-10-23,0,0.0,0.0,1490.0,1510.0
12,Pacers,97,Bulls,102,A,1976-10-23,0,0.0,0.0,1480.28774368,1490.0
13,Kings,99,Nuggets,120,A,1976-10-23,0,0.0,0.0,1490.0,1509.71225632
14,Wizards,98,Pistons,97,A,1976-10-23,1,0.0,0.0,1489.71225632,1510.0
15,Suns,126,Rockets,129,A,1976-10-23,0,0.0,0.0,1490.0,1510.0
16,Celtics,111,Bucks,107,A,1976-10-23,1,0.0,0.0,1510.0,1490.0
17,Spurs,98,Knicks,117,A,1976-10-23,0,0.0,0.0,1510.0,1510.0
18,Nets,104,Trailblazers,114,A,1976-10-23,0,0.0,0.0,1510.0,1500.0
19,Bucks,91,Hawks,115,A,1976-10-24,0,0.0,0.0,1480.57501128,1490.0
20,Lakers,95,Cavaliers,100,A,1976-10-24,0,0.0,0.0,1500.28774368,1510.0
21,Nets,93,Thunder,104,A,1976-10-24,0,0.0,0.0,1499.71225632,1500.0
22,Spurs,114,Hawks,122,A,1976-10-26,0,0.0,0.0,1500.0,1499.72879354
23,Bucks,88,Bulls,90,A,1976-10-26,0,0.0,0.0,1470.84621774,1499.72053158
24,Thunder,90,Pacers,120,A,1976-10-26,0,0.0,0.0,1509.99171807,1470.5672121
25,Lakers,115,Kings,117,A,1976-10-26,0,0.0,0.0,1490.5672121,1480.56675634
26,Sixers,111,Jazz,101,A,1976-10-26,1,0.0,0.0,1480.57501128,1510.0
27,Clippers,104,Knicks,118,A,1976-10-26,0,0.0,0.0,1519.42498872,1520.0
28,Warriors,96,Trailblazers,110,A,1976-10-26,0,0.0,0.0,1490.0,1510.28774368
29,Thunder,92,Pistons,106,A,1976-10-27,0,0.0,0.0,1498.86183491,1499.41673457
30,Sixers,116,Rockets,94,A,1976-10-27,1,0.0,0.0,1491.41991142,1519.42498872
31,Wizards,93,Nets,96,A,1976-10-27,0,0.0,0.0,1500.29552175,1489.72053824
32,Suns,106,Spurs,115,A,1976-10-27,0,0.0,0.0,1480.57501128,1489.99219405
33,Clippers,105,Celtics,112,A,1976-10-28,0,0.0,0.0,1509.44153886,1519.42498872
34,Knicks,90,Cavaliers,114,A,1976-10-28,0,0.0,0.0,1529.98344986,1519.72053158
35,Bucks,100,Nuggets,119,A,1976-10-28,0,104.6,0.0,1461.67537923,1519.14549998
36,Trailblazers,92,Warriors,112,A,1976-10-28,0,0.0,0.0,1519.70447825,1480.58326543
37,Suns,95,Bulls,82,A,1976-10-29,1,0.0,0.0,1470.84599323,1508.89137009
38,Spurs,102,Kings,130,A,1976-10-29,0,108.2,0.0,1499.7212121,1490.85451313
39,Hawks,101,Lakers,118,A,1976-10-29,0,0.0,102.2,1509.73659949,1480.27945531
40,Wizards,93,Jazz,111,A,1976-10-29,0,0.0,0.0,1489.99124321,1499.15509986
41,Pacers,90,Nets,89,A,1976-10-29,1,105.8,96.8,1481.69709526,1500.02481678
42,Pistons,103,Thunder,106,A,1976-10-29,0,0.0,0.0,1509.40076329,1488.87780619
43,Cavaliers,109,Clippers,105,A,1976-10-30,1,0.0,111.2,1530.01583623,1499.72880659
44,Suns,107,Nuggets,113,A,1976-10-30,0,106.4,0.0,1481.93667124,1527.50629991
45,Hawks,106,Warriors,114,A,1976-10-30,0,106.4,0.0,1498.89078045,1491.70452971
46,Wizards,92,Rockets,105,A,1976-10-30,0,95.8,0.0,1480.25493906,1508.62067896
47,Kings,102,Pacers,112,A,1976-10-30,0,103.4,100.4,1501.10966185,1492.22412073
48,Bulls,74,Bucks,102,A,1976-10-30,0,89.8,92.8,1497.80069208,1453.3145793
49,Jazz,115,Knicks,112,A,1976-10-30,1,0.0,100.8,1508.89140401,1519.68814521
50,Nets,80,Sixers,104,A,1976-10-30,0,92.0,106.6,1489.49779131,1502.22422118
51,Pistons,97,Trailblazers,131,A,1976-10-30,0,97.8,0.0,1498.81075117,1508.58321397
52,Celtics,126,Spurs,117,A,1976-10-30,1,0.0,109.2,1529.137721,1489.46606338
53,Jazz,92,Cavaliers,106,A,1976-10-31,0,101.8,96.2,1519.20205921,1539.14630689
54,Pistons,101,Lakers,121,A,1976-10-31,0,98.2,103.0,1489.09195111,1491.12527435
55,Hawks,112,Thunder,126,A,1976-10-31,0,104.8,98.0,1488.68397302,1499.46781831
56,Knicks,101,Kings,105,A,1976-11-01,0,101.6,103.8,1509.37749001,1490.85397116
57,Cavaliers,82,Nets,75,A,1976-11-01,1,93.6,87.6,1548.572895,1479.86392367
58,Pistons,98,Warriors,111,A,1976-11-02,0,98.2,99.2,1479.15047419,1501.91133714
59,Thunder,113,Bucks,125,A,1976-11-02,0,102.0,93.2,1509.15753393,1464.58804085
60,Celtics,97,Jazz,115,A,1976-11-02,0,113.6,101.6,1538.00081562,1509.7754711
61,Hawks,116,Trailblazers,129,A,1976-11-02,0,109.8,101.0,1478.9942574,1518.30201404
62,Knicks,110,Nuggets,119,A,1976-11-03,0,104.0,107.8,1498.84484487,1536.20217029
63,Celtics,111,Rockets,117,A,1976-11-03,0,110.0,113.0,1527.19020739,1517.80605652
64,Spurs,97,Pacers,113,A,1976-11-03,0,109.0,95.2,1480.60296876,1502.47981142
65,Thunder,106,Kings,126,A,1976-11-03,0,105.2,105.2,1497.88171148,1501.38661631
66,Clippers,96,Nets,100,A,1976-11-03,0,103.8,88.2,1490.59833593,1471.81614307
67,Bucks,105,Wizards,117,A,1976-11-03,0,96.0,96.2,1475.8638633,1471.0695615
68,Bulls,87,Hawks,97,A,1976-11-04,0,88.2,104.4,1486.52723052,1470.12082302
69,Bucks,88,Cavaliers,96,A,1976-11-04,0,96.0,92.2,1465.72588096,1556.6206756
70,Sixers,101,Warriors,96,A,1976-11-04,1,102.6,98.6,1511.85808882,1511.25716242
71,Wizards,107,Celtics,104,A,1976-11-05,1,98.0,109.2,1481.20754384,1516.92017548
72,Nuggets,99,Bulls,85,A,1976-11-05,1,103.0,88.6,1545.13106461,1476.05536683
73,Clippers,122,Pistons,108,A,1976-11-05,1,107.2,104.2,1480.05826697,1469.80464891
74,Pacers,103,Kings,112,A,1976-11-05,0,96.4,102.8,1511.85097612,1511.28574046
75,Knicks,126,Lakers,121,A,1976-11-05,1,108.4,107.6,1489.91595055,1501.06675127
76,Spurs,119,Jazz,127,A,1976-11-05,0,110.0,103.2,1471.23180406,1520.58607932
77,Rockets,91,Nets,95,A,1976-11-05,0,107.2,87.8,1528.07608843,1482.35621203
78,Sixers,104,Trailblazers,146,A,1976-11-05,0,102.4,101.0,1521.84079278,1527.17544842
79,Suns,84,Thunder,88,A,1976-11-05,0,103.6,103.6,1473.24080087,1487.98258733
80,Pistons,110,Hawks,105,A,1976-11-06,1,105.6,106.2,1460.09968611,1480.59268671
81,Rockets,102,Clippers,117,A,1976-11-06,0,102.4,106.8,1516.76770812,1489.76322977
82,Nets,93,Cavaliers,101,A,1976-11-06,0,88.4,92.8,1493.66459235,1564.06260918
83,Knicks,112,Warriors,111,A,1976-11-06,1,112.8,101.8,1500.23678624,1501.27445845
84,Nuggets,105,Bucks,103,A,1976-11-06,1,104.2,97.0,1553.16869435,1458.28394738
85,Pacers,94,Spurs,113,A,1976-11-06,0,97.2,107.6,1501.83470734,1462.6428558
