fran_id,pts,opp_fran,opp_pts,game_location,date
Knicks,88,Cavaliers,117,A,2016-10-25
Spurs,129,Warriors,100,A,2016-10-25
Jazz,104,Trailblazers,113,A,2016-10-25
Nets,117,Celtics,122,A,2016-10-26
Mavericks,121,Pacers,130,A,2016-10-26
Rockets,114,Lakers,120,A,2016-10-26
Timberwolves,98,Grizzlies,102,A,2016-10-26
Hornets,107,Bucks,96,A,2016-10-26
Nuggets,107,Pelicans,102,A,2016-10-26
Heat,108,Magic,96,A,2016-10-26
Thunder,103,Sixers,97,A,2016-10-26
Kings,113,Suns,94,A,2016-10-26
Pistons,91,Raptors,109,A,2016-10-26
Wizards,99,Hawks,114,A,2016-10-27
Celtics,99,Bulls,105,A,2016-10-27
Clippers,114,Trailblazers,106,A,2016-10-27
Spurs,102,Kings,94,A,2016-10-27
Pacers,94,Nets,103,A,2016-10-28
Rockets,106,Mavericks,98,A,2016-10-28
Magic,82,Pistons,108,A,2016-10-28
Hornets,97,Heat,91,A,2016-10-28
Warriors,122,Pelicans,114,A,2016-10-28
Suns,110,Thunder,113,A,2016-10-28
Cavaliers,94,Raptors,91,A,2016-10-28
Lakers,89,Jazz,96,A,2016-10-28
Pacers,101,Bulls,118,A,2016-10-29
Celtics,104,Hornets,98,A,2016-10-29
Magic,99,Cavaliers,105,A,2016-10-29
Trailblazers,115,Nuggets,113,A,2016-10-29
Nets,108,Bucks,110,A,2016-10-29
Grizzlies,104,Knicks,111,A,2016-10-29
Hawks,104,Sixers,72,A,2016-10-29
Timberwolves,103,Kings,106,A,2016-10-29
Pelicans,79,Spurs,98,A,2016-10-29
Bucks,83,Pistons,98,A,2016-10-30
Mavericks,92,Rockets,93,A,2016-10-30
Jazz,75,Clippers,88,A,2016-10-30
Wizards,103,Grizzlies,112,A,2016-10-30
Spurs,106,Heat,99,A,2016-10-30
Lakers,96,Thunder,113,A,2016-10-30
Warriors,106,Suns,100,A,2016-10-30
Kings,95,Hawks,106,A,2016-10-31
Bulls,118,Nets,88,A,2016-10-31
Suns,98,Clippers,116,A,2016-10-31
Nuggets,102,Raptors,105,A,2016-10-31
Rockets,120,Cavaliers,128,A,2016-11-01
Knicks,89,Pistons,102,A,2016-11-01
Lakers,108,Pacers,115,A,2016-11-01
Kings,96,Heat,108,A,2016-11-01
Grizzlies,80,Timberwolves,116,A,2016-11-01
Bucks,117,Pelicans,113,A,2016-11-01
Magic,103,Sixers,101,A,2016-11-01
Warriors,127,Trailblazers,104,A,2016-11-01
Jazz,106,Spurs,91,A,2016-11-01
Lakers,123,Hawks,116,A,2016-11-02
Bulls,100,Celtics,107,A,2016-11-02
Pistons,101,Nets,109,A,2016-11-02
Sixers,93,Hornets,109,A,2016-11-02
Thunder,85,Clippers,83,A,2016-11-02
Pelicans,83,Grizzlies,89,A,2016-11-02
Rockets,118,Knicks,99,A,2016-11-02
Trailblazers,115,Suns,118,A,2016-11-02
Mavericks,81,Jazz,97,A,2016-11-02
Raptors,113,Wizards,103,A,2016-11-02
Celtics,122,Cavaliers,128,A,2016-11-03
Thunder,96,Warriors,122,A,2016-11-03
Pacers,107,Bucks,125,A,2016-11-03
Nuggets,102,Timberwolves,99,A,2016-11-03
Kings,94,Magic,102,A,2016-11-03
