fran_id,pts,opp_fran,opp_pts,game_location,date
Cavaliers,101,Pistons,106,A,3/9/2017
Clippers,114,Grizzlies,98,A,3/9/2017
Spurs,92,Thunder,102,A,3/9/2017
Lakers,122,Suns,110,A,3/9/2017
Sixers,108,Trailblazers,114,A,3/9/2017
Nets,105,Hawks,110,A,3/8/2017
Wizards,123,Nuggets,113,A,3/8/2017
Celtics,99,Warriors,86,A,3/8/2017
Jazz,115,Rockets,108,A,3/8/2017
Pistons,98,Pacers,115,A,3/8/2017
Hornets,101,Heat,108,A,3/8/2017
Knicks,93,Bucks,104,A,3/8/2017
Clippers,91,Timberwolves,107,A,3/8/2017
Raptors,94,Pelicans,87,A,3/8/2017
Bulls,91,Magic,98,A,3/8/2017
Kings,104,Spurs,114,A,3/8/2017
Lakers,111,Mavericks,122,A,3/7/2017
Trailblazers,126,Thunder,121,A,3/7/2017
Wizards,131,Suns,127,A,3/7/2017
Warriors,119,Hawks,111,A,3/6/2017
Pacers,88,Hornets,100,A,3/6/2017
Heat,106,Cavaliers,98,A,3/6/2017
Kings,96,Nuggets,108,A,3/6/2017
Bulls,95,Pistons,109,A,3/6/2017
Celtics,102,Clippers,116,A,3/6/2017
Nets,122,Grizzlies,109,A,3/6/2017
Knicks,113,Magic,105,A,3/6/2017
Bucks,112,Sixers,98,A,3/6/2017
Rockets,110,Spurs,112,A,3/6/2017
Pelicans,83,Jazz,88,A,3/6/2017
Pacers,97,Hawks,96,A,3/5/2017
Thunder,89,Mavericks,104,A,3/5/2017
Pelicans,105,Lakers,97,A,3/5/2017
Warriors,112,Knicks,105,A,3/5/2017
Celtics,106,Suns,109,A,3/5/2017
Jazz,110,Kings,109,A,3/5/2017
Magic,114,Wizards,115,A,3/5/2017
Clippers,101,Bulls,91,A,3/4/2017
Hornets,112,Nuggets,102,A,3/4/2017
Grizzlies,108,Rockets,123,A,3/4/2017
Cavaliers,92,Heat,120,A,3/4/2017
Raptors,94,Bucks,101,A,3/4/2017
Pistons,136,Sixers,106,A,3/4/2017
Nets,116,Trailblazers,130,A,3/4/2017
Timberwolves,90,Spurs,97,A,3/4/2017
Cavaliers,135,Hawks,130,A,3/3/2017
Grizzlies,100,Mavericks,104,A,3/3/2017
Celtics,115,Lakers,95,A,3/3/2017
Clippers,101,Bucks,112,A,3/3/2017
Spurs,101,Pelicans,98,A,3/3/2017
