Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Oct 27, 2015",8:00 pm,Detroit Pistons,106,Atlanta Hawks,94
"Tue, Oct 27, 2015",8:00 pm,Cleveland Cavaliers,95,Chicago Bulls,97
"Tue, Oct 27, 2015",10:30 pm,New Orleans Pelicans,95,Golden State Warriors,111
"Wed, Oct 28, 2015",7:30 pm,Philadelphia 76ers,95,Boston Celtics,112
"Wed, Oct 28, 2015",7:30 pm,Chicago Bulls,115,Brooklyn Nets,100
"Wed, Oct 28, 2015",7:30 pm,Utah Jazz,87,Detroit Pistons,92
"Wed, Oct 28, 2015",8:00 pm,Denver Nuggets,105,Houston Rockets,85
"Wed, Oct 28, 2015",10:30 pm,Minnesota Timberwolves,112,Los Angeles Lakers,111
"Wed, Oct 28, 2015",8:00 pm,Cleveland Cavaliers,106,Memphis Grizzlies,76
"Wed, Oct 28, 2015",7:30 pm,Charlotte Hornets,94,Miami Heat,104
"Wed, Oct 28, 2015",8:00 pm,New York Knicks,122,Milwaukee Bucks,97
"Wed, Oct 28, 2015",8:00 pm,San Antonio Spurs,106,Oklahoma City Thunder,112
"Wed, Oct 28, 2015",7:00 pm,Washington Wizards,88,Orlando Magic,87
"Wed, Oct 28, 2015",10:00 pm,Dallas Mavericks,111,Phoenix Suns,95
"Wed, Oct 28, 2015",10:00 pm,New Orleans Pelicans,94,Portland Trail Blazers,112
"Wed, Oct 28, 2015",10:00 pm,Los Angeles Clippers,111,Sacramento Kings,104
"Wed, Oct 28, 2015",7:30 pm,Indiana Pacers,99,Toronto Raptors,106
"Thu, Oct 29, 2015",7:00 pm,Memphis Grizzlies,112,Indiana Pacers,103
"Thu, Oct 29, 2015",10:30 pm,Dallas Mavericks,88,Los Angeles Clippers,104
"Thu, Oct 29, 2015",8:00 pm,Atlanta Hawks,112,New York Knicks,101
"Fri, Oct 30, 2015",8:00 pm,Charlotte Hornets,94,Atlanta Hawks,97
"Fri, Oct 30, 2015",7:30 pm,Toronto Raptors,113,Boston Celtics,103
"Fri, Oct 30, 2015",7:00 pm,Miami Heat,92,Cleveland Cavaliers,102
"Fri, Oct 30, 2015",9:00 pm,Minnesota Timberwolves,95,Denver Nuggets,78
"Fri, Oct 30, 2015",7:30 pm,Chicago Bulls,94,Detroit Pistons,98
"Fri, Oct 30, 2015",9:30 pm,Golden State Warriors,112,Houston Rockets,92
"Fri, Oct 30, 2015",8:00 pm,Washington Wizards,118,Milwaukee Bucks,113
"Fri, Oct 30, 2015",7:00 pm,Oklahoma City Thunder,139,Orlando Magic,136
"Fri, Oct 30, 2015",7:00 pm,Utah Jazz,99,Philadelphia 76ers,71
"Fri, Oct 30, 2015",10:30 pm,Portland Trail Blazers,92,Phoenix Suns,110
"Fri, Oct 30, 2015",10:00 pm,Los Angeles Lakers,114,Sacramento Kings,132
"Fri, Oct 30, 2015",8:30 pm,Brooklyn Nets,75,San Antonio Spurs,102
"Sat, Oct 31, 2015",7:00 pm,Utah Jazz,97,Indiana Pacers,76
"Sat, Oct 31, 2015",10:30 pm,Sacramento Kings,109,Los Angeles Clippers,114
"Sat, Oct 31, 2015",8:00 pm,Brooklyn Nets,91,Memphis Grizzlies,101
"Sat, Oct 31, 2015",7:30 pm,Golden State Warriors,134,New Orleans Pelicans,120
"Sat, Oct 31, 2015",10:00 pm,Phoenix Suns,101,Portland Trail Blazers,90
"Sat, Oct 31, 2015",7:00 pm,New York Knicks,117,Washington Wizards,110
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sun, Nov 1, 2015",3:30 pm,San Antonio Spurs,95,Boston Celtics,87
"Sun, Nov 1, 2015",7:00 pm,Orlando Magic,87,Chicago Bulls,92
"Sun, Nov 1, 2015",2:00 pm,Atlanta Hawks,94,Charlotte Hornets,92
"Sun, Nov 1, 2015",9:30 pm,Dallas Mavericks,103,Los Angeles Lakers,93
"Sun, Nov 1, 2015",6:00 pm,Houston Rockets,89,Miami Heat,109
"Sun, Nov 1, 2015",7:00 pm,Denver Nuggets,93,Oklahoma City Thunder,117
"Sun, Nov 1, 2015",6:00 pm,Milwaukee Bucks,87,Toronto Raptors,106
"Mon, Nov 2, 2015",7:30 pm,Milwaukee Bucks,103,Brooklyn Nets,96
"Mon, Nov 2, 2015",10:30 pm,Memphis Grizzlies,69,Golden State Warriors,119
"Mon, Nov 2, 2015",8:00 pm,Oklahoma City Thunder,105,Houston Rockets,110
"Mon, Nov 2, 2015",10:30 pm,Phoenix Suns,96,Los Angeles Clippers,102
"Mon, Nov 2, 2015",8:00 pm,Portland Trail Blazers,106,Minnesota Timberwolves,101
"Mon, Nov 2, 2015",7:30 pm,San Antonio Spurs,94,New York Knicks,84
"Mon, Nov 2, 2015",7:00 pm,Cleveland Cavaliers,107,Philadelphia 76ers,100
"Tue, Nov 3, 2015",7:00 pm,Chicago Bulls,105,Charlotte Hornets,130
"Tue, Nov 3, 2015",8:30 pm,Toronto Raptors,102,Dallas Mavericks,91
"Tue, Nov 3, 2015",7:30 pm,Indiana Pacers,94,Detroit Pistons,82
"Tue, Nov 3, 2015",10:30 pm,Denver Nuggets,120,Los Angeles Lakers,109
"Tue, Nov 3, 2015",7:30 pm,Atlanta Hawks,98,Miami Heat,92
"Tue, Nov 3, 2015",8:00 pm,Orlando Magic,103,New Orleans Pelicans,94
"Tue, Nov 3, 2015",10:00 pm,Memphis Grizzlies,103,Sacramento Kings,89
"Wed, Nov 4, 2015",8:00 pm,Brooklyn Nets,87,Atlanta Hawks,101
"Wed, Nov 4, 2015",8:00 pm,New York Knicks,86,Cleveland Cavaliers,96
"Wed, Nov 4, 2015",10:30 pm,Los Angeles Clippers,108,Golden State Warriors,112
"Wed, Nov 4, 2015",8:00 pm,Orlando Magic,114,Houston Rockets,119
"Wed, Nov 4, 2015",7:00 pm,Boston Celtics,98,Indiana Pacers,100
"Wed, Nov 4, 2015",8:00 pm,Philadelphia 76ers,87,Milwaukee Bucks,91
"Wed, Nov 4, 2015",8:00 pm,Toronto Raptors,103,Oklahoma City Thunder,98
"Wed, Nov 4, 2015",9:00 pm,Sacramento Kings,97,Phoenix Suns,118
"Wed, Nov 4, 2015",9:00 pm,Portland Trail Blazers,108,Utah Jazz,92
"Wed, Nov 4, 2015",7:00 pm,San Antonio Spurs,99,Washington Wizards,102
"Thu, Nov 5, 2015",8:00 pm,Oklahoma City Thunder,98,Chicago Bulls,104
"Thu, Nov 5, 2015",8:30 pm,Charlotte Hornets,108,Dallas Mavericks,94
"Thu, Nov 5, 2015",9:00 pm,Utah Jazz,96,Denver Nuggets,84
"Thu, Nov 5, 2015",8:00 pm,Miami Heat,96,Minnesota Timberwolves,84
"Thu, Nov 5, 2015",10:30 pm,Memphis Grizzlies,96,Portland Trail Blazers,115
"Fri, Nov 6, 2015",7:30 pm,Washington Wizards,98,Boston Celtics,118
