date,away,home,amp,afg,afga,afg_pct,afg3,afg3a,afg3_pct,aft,afta,aft_pct,aord,adrb,atrb,aast,astl,ablk,atov,apf,apts,hmp,hfg,hfga,hfg_pct,hfg3,hfg3a,fhg3_pct,hft,hfta,hft_pct,hord,hdrb,htrb,hast,hstl,hblk,htov,hpf,hpts
2016-10-25,Knicks,Cavaliers,240,32,87,.368,9,27,.333,15,20,.750,13,29,42,17,6,6,18,22,88,240,45,94,.479,13,35,.371,14,19,.737,11,40,51,31,12,5,14,22,117
2016-10-25,Spurs,Warriors,240,47,98,.480,12,24,.500,23,26,.885,21,34,55,25,13,3,13,19,129,240,40,85,.471,7,33,.212,13,18,.722,8,27,35,24,11,6,16,19,100
2016-10-25,Jazz,Trailblazers,240,40,82,.488,8,24,.333,16,16,1.000,6,25,31,19,9,5,11,19,104,240,39,75,.520,13,19,.684,22,22,1.000,5,29,34,22,5,3,12,18,113
2016-10-26,Nets,Celtics,240,43,97,.443,15,44,.341,16,20,.800,15,29,44,22,8,3,16,19,117,240,48,89,.539,11,32,.344,15,18,.833,12,35,47,36,13,9,19,20,122
2016-10-26,Mavericks,Pacers,265,45,104,.433,18,48,.375,13,18,.722,10,39,49,26,8,8,15,27,121,265,47,93,.505,10,19,.526,26,34,.765,8,44,52,30,11,6,16,23,130
2016-10-26,Rockets,Lakers,240,44,86,.512,7,29,.241,19,27,.704,10,29,39,29,10,1,14,23,114,240,45,89,.506,12,35,.343,18,22,.818,11,28,39,21,10,4,15,24,120
2016-10-26,Timberwolves,Grizzlies,240,36,86,.419,6,18,.333,20,29,.690,15,30,45,20,6,5,10,23,98,240,36,80,.450,11,24,.458,19,27,.704,11,34,45,19,6,11,13,25,102
2016-10-26,Hornets,Bucks,240,40,89,.449,7,23,.304,20,24,.833,11,40,51,27,5,10,10,22,107,240,39,92,.424,3,16,.188,15,20,.750,10,36,46,23,4,5,8,22,96
2016-10-26,Nuggets,Pelicans,240,37,83,.446,8,24,.333,25,33,.758,11,47,58,18,7,4,24,22,107,240,38,92,.413,3,19,.158,23,26,.885,5,28,33,31,16,5,11,29,102
2016-10-26,Heat,Magic,240,47,97,.485,4,16,.250,10,16,.625,16,36,52,27,5,7,10,22,108,240,34,89,.382,6,18,.333,22,28,.786,15,30,45,20,5,4,11,15,96
2016-10-26,Thunder,Sixers,240,39,94,.415,6,22,.273,19,26,.731,13,40,53,19,7,3,10,23,103,240,36,84,.429,7,24,.292,18,25,.720,5,38,43,21,5,10,13,22,97
2016-10-26,Kings,Suns,240,44,86,.512,6,21,.286,19,26,.731,10,31,41,24,5,5,13,20,113,240,36,77,.468,4,16,.250,18,27,.667,10,31,41,20,6,3,18,29,94
2016-10-26,Pistons,Raptors,240,35,84,.417,4,22,.182,17,22,.773,8,32,40,17,8,0,13,24,91,240,41,86,.477,3,18,.167,24,29,.828,14,37,51,17,8,0,11,22,109
2016-10-27,Wizards,Hawks,240,40,94,.426,6,20,.300,13,18,.722,12,28,40,25,14,4,19,20,99,240,44,88,.500,12,26,.462,14,18,.778,14,38,52,28,13,7,21,19,114
2016-10-27,Celtics,Bulls,240,38,76,.500,8,23,.348,15,24,.625,3,33,36,22,6,6,11,25,99,240,36,92,.391,11,25,.440,22,30,.733,18,37,55,25,5,1,12,21,105
2016-10-27,Clippers,Trailblazers,240,37,91,.407,8,29,.276,32,46,.696,15,33,48,12,10,4,7,25,114,240,39,85,.459,4,18,.222,24,32,.750,9,39,48,18,4,4,14,34,106
2016-10-27,Spurs,Kings,240,36,79,.456,6,18,.333,24,27,.889,9,31,40,23,10,8,9,26,102,240,28,70,.400,6,20,.300,32,38,.842,6,34,40,22,7,0,15,21,94
2016-10-28,Pacers,Nets,240,37,98,.378,7,24,.292,13,20,.650,14,35,49,22,7,6,13,22,94,240,38,87,.437,10,33,.303,17,20,.850,12,40,52,20,6,4,16,23,103
2016-10-28,Rockets,Mavericks,240,33,70,.471,15,32,.469,25,31,.806,5,36,41,21,6,1,18,22,106,240,35,80,.438,8,29,.276,20,24,.833,6,28,34,13,11,2,9,21,98
2016-10-28,Magic,Pistons,240,33,95,.347,8,26,.308,8,12,.667,14,30,44,20,8,3,9,13,82,240,48,95,.505,7,19,.368,5,6,.833,9,44,53,27,8,4,12,11,108
2016-10-28,Hornets,Heat,240,35,92,.380,7,22,.318,20,24,.833,13,36,49,20,10,9,8,20,97,240,32,86,.372,14,34,.412,13,20,.650,11,41,52,19,2,4,19,23,91
2016-10-28,Warriors,Pelicans,240,44,91,.484,9,28,.321,25,28,.893,9,40,49,32,8,2,14,22,122,240,47,100,.470,5,22,.227,15,23,.652,12,37,49,29,8,5,13,24,114
2016-10-28,Suns,Thunder,265,42,94,.447,5,28,.179,21,32,.656,7,37,44,15,11,3,15,29,110,265,40,96,.417,5,21,.238,28,38,.737,14,43,57,13,11,3,22,24,113
2016-10-28,Cavaliers,Raptors,240,33,79,.418,12,32,.375,16,22,.727,9,31,40,20,8,3,17,15,94,240,35,90,.389,4,16,.250,17,18,.944,18,33,51,12,9,3,18,20,91
2016-10-28,Lakers,Jazz,240,32,84,.381,9,23,.391,16,21,.762,11,32,43,16,6,7,14,29,89,240,31,75,.413,6,25,.240,28,40,.700,13,34,47,14,4,7,14,18,96
2016-10-29,Pacers,Bulls,240,43,88,.489,7,18,.389,8,9,.889,8,25,33,34,8,7,13,16,101,240,45,86,.523,9,21,.429,19,21,.905,13,34,47,34,8,6,12,14,118
2016-10-29,Celtics,Hornets,240,39,81,.481,15,31,.484,11,17,.647,4,38,42,25,4,6,13,26,104,240,32,79,.405,9,32,.281,25,33,.758,6,32,38,22,8,6,8,17,98
2016-10-29,Magic,Cavaliers,240,38,84,.452,8,28,.286,15,26,.577,13,37,50,21,6,5,20,23,99,240,36,88,.409,11,37,.297,22,30,.733,13,27,40,17,8,6,9,27,105
2016-10-29,Trailblazers,Nuggets,265,45,98,.459,10,32,.313,15,21,.714,5,40,45,23,10,8,15,30,115,265,38,100,.380,6,23,.261,31,39,.795,16,45,61,19,10,5,17,21,113
2016-10-29,Nets,Bucks,240,37,84,.440,11,34,.324,23,28,.821,11,34,45,23,12,6,18,22,108,240,41,88,.466,8,22,.364,20,24,.833,8,36,44,25,14,5,14,23,110
2016-10-29,Grizzlies,Knicks,240,37,86,.430,9,25,.360,21,26,.808,11,29,40,19,3,2,12,30,104,240,40,76,.526,6,21,.286,25,39,.641,6,35,41,24,4,4,12,25,111
2016-10-29,Hawks,Sixers,240,42,85,.494,5,20,.250,15,23,.652,6,41,47,31,11,7,12,14,104,240,28,80,.350,5,18,.278,11,15,.733,4,35,39,16,9,5,20,20,72
2016-10-29,Timberwolves,Kings,240,37,70,.529,7,22,.318,22,31,.710,7,29,36,19,6,5,11,25,103,240,39,85,.459,9,26,.346,19,25,.760,11,20,31,24,6,5,13,24,106
2016-10-29,Pelicans,Spurs,240,32,86,.372,4,22,.182,11,15,.733,7,38,45,14,6,5,9,19,79,240,35,83,.422,10,24,.417,18,23,.783,6,44,50,21,6,7,9,15,98
2016-10-30,Bucks,Pistons,240,34,87,.391,4,17,.235,11,14,.786,10,30,40,22,10,4,12,16,83,240,39,88,.443,5,20,.250,15,20,.750,16,42,58,23,8,4,15,14,98
2016-10-30,Mavericks,Rockets,240,32,86,.372,11,31,.355,17,20,.850,13,30,43,17,8,3,9,17,92,240,34,81,.420,11,31,.355,14,21,.667,9,38,47,16,5,4,17,21,93
