fran_id	altitude	lat	lon
Bucks	617	43.038902	-87.906471
Bulls	594	41.881832	-87.623177
Cavaliers	653	41.505493	-81.68129
Celtics	141	42.361145	-71.057083
Clippers	233	34.052235	-118.243683
Grizzlies	337	35.002865	-89.997658
Hawks	1050	33.753746	-84.38633
Heat	5	25.761681	-80.191788
Hornets	751	35.227085	-80.843124
Jazz	4226	40.758701	-111.876183
Kings	30	38.575764	-121.478851
Knicks	33	40.758896	-73.98513
Lakers	233	34.052235	-118.243683
Magic	82	28.538336	-81.379234
Mavericks	430	32.89748	-97.040443
Nets	33	40.650002	-73.949997
Nuggets	5280	39.742043	-104.991531
Pacers	715	39.7683333	-86.1580556
Pelicans	1	29.951065	-90.071533
Pistons	600	42.331429	-83.045753
Raptors	249	43.704926	-79.28228
Rockets	80	29.766083	-95.35881
Sixers	39	40.071899	-75.205963
Spurs	650	29.424349	-98.491142
Suns	1086	33.528839	-112.263901
Thunder	1201	35.481918	-97.508469
Timberwolves	830	45.026951	-93.258003
Trailblazers	50	45.548325	-122.588303
Warriors	43	37.725685	-122.15683
Wizards	410	38.9072	-77.009003
