fran_id,pts,opp_fran,opp_pts,game_location,date
Suns,,Nets,,A,2017-03-23
Clippers,,Mavericks,,A,2017-03-23
Raptors,,Heat,,A,2017-03-23
Knicks,,Trailblazers,,A,2017-03-23
Grizzlies,,Spurs,,A,2017-03-23
Suns,,Celtics,,A,2017-03-24
Sixers,,Bulls,,A,2017-03-24
Cavaliers,,Hornets,,A,2017-03-24
Kings,,Warriors,,A,2017-03-24
Pelicans,,Rockets,,A,2017-03-24
Nuggets,,Pacers,,A,2017-03-24
Timberwolves,,Lakers,,A,2017-03-24
Hawks,,Bucks,,A,2017-03-24
Pistons,,Magic,,A,2017-03-24
Nets,,Wizards,,A,2017-03-24
Wizards,,Cavaliers,,A,2017-03-25
Raptors,,Mavericks,,A,2017-03-25
Jazz,,Clippers,,A,2017-03-25
Timberwolves,,Trailblazers,,A,2017-03-25
Knicks,,Spurs,,A,2017-03-25
Nets,,Hawks,,A,2017-03-26
Heat,,Celtics,,A,2017-03-26
Suns,,Hornets,,A,2017-03-26
Pelicans,,Nuggets,,A,2017-03-26
Grizzlies,,Warriors,,A,2017-03-26
Thunder,,Rockets,,A,2017-03-26
Sixers,,Pacers,,A,2017-03-26
Kings,,Clippers,,A,2017-03-26
Trailblazers,,Lakers,,A,2017-03-26
Bulls,,Bucks,,A,2017-03-26
Thunder,,Mavericks,,A,2017-03-27
Pistons,,Knicks,,A,2017-03-27
Grizzlies,,Kings,,A,2017-03-27
Cavaliers,,Spurs,,A,2017-03-27
Magic,,Raptors,,A,2017-03-27
Pelicans,,Jazz,,A,2017-03-27
Suns,,Hawks,,A,2017-03-28
Sixers,,Nets,,A,2017-03-28
Bucks,,Hornets,,A,2017-03-28
Heat,,Pistons,,A,2017-03-28
Warriors,,Rockets,,A,2017-03-28
Timberwolves,,Pacers,,A,2017-03-28
Wizards,,Lakers,,A,2017-03-28
Nuggets,,Trailblazers,,A,2017-03-28
Bucks,,Celtics,,A,2017-03-29
Wizards,,Clippers,,A,2017-03-29
Pacers,,Grizzlies,,A,2017-03-29
Mavericks,,Pelicans,,A,2017-03-29
Heat,,Knicks,,A,2017-03-29
Thunder,,Magic,,A,2017-03-29
Hawks,,Sixers,,A,2017-03-29
Jazz,,Kings,,A,2017-03-29
Warriors,,Spurs,,A,2017-03-29
Hornets,,Raptors,,A,2017-03-29
Cavaliers,,Bulls,,A,2017-03-30
Nets,,Pistons,,A,2017-03-30
Lakers,,Timberwolves,,A,2017-03-30
Clippers,,Suns,,A,2017-03-30
Rockets,,Trailblazers,,A,2017-03-30
Magic,,Celtics,,A,2017-03-31
Nuggets,,Hornets,,A,2017-03-31
Sixers,,Cavaliers,,A,2017-03-31
Rockets,,Warriors,,A,2017-03-31
Mavericks,,Grizzlies,,A,2017-03-31
Knicks,,Heat,,A,2017-03-31
Pistons,,Bucks,,A,2017-03-31
Kings,,Pelicans,,A,2017-03-31
Spurs,,Thunder,,A,2017-03-31
Pacers,,Raptors,,A,2017-03-31
Wizards,,Jazz,,A,2017-03-31
Magic,,Nets,,A,2017-04-01
Hawks,,Bulls,,A,2017-04-01
Lakers,,Clippers,,A,2017-04-01
Kings,,Timberwolves,,A,2017-04-01
Suns,,Trailblazers,,A,2017-04-01
Hawks,,Nets,,A,2017-04-02
Pacers,,Cavaliers,,A,2017-04-02
